상호명,카테고리,평점,주소,운영시간,메뉴,시설
수복축산,"육류,고기",0,부산 영도구 남항로25번길 17 (우)49054,['월~금 11:30 ~ 22:00'],{},{}
영도한식부페,"호프,요리주점",5.0,부산 영도구 절영로14번길 10 (우)49033,['null'],{},{}
영도가마솥설렁탕,설렁탕,5.0,부산 영도구 남항로19번길 44-1 1층 (우)49052,['매일 00:00 ~ 24:00'],"{'가마솥 설렁탕': '9,000', '사골우거지탕': '9,000', '소 수육(소)': '30,000', '소 수육(대)': '50,000'}","{'WIFI': '', '동물출입': '', '주차': '', '휠체어사용': '가능', '놀이방': '', '흡연실': ''}"
커피 칼리스,음식점,1.0,부산 영도구 태종로 56-1 (우)49042,['null'],{},{}
바다장어조아,장어,5.0,부산 영도구 남항로9번길 2-1 (우)49045,['매일 10:00 ~ 22:00'],"{'멍게비빔밥': '8,000', '장어구이(소)': '40,000', '양념장어구이(소)': '40,000', '장어탕': '11,000', '돌솥비빔밥': '6,000'}",{}
베이커리카페라벨 라발스호텔점,"제과,베이커리",0,부산 영도구 봉래나루로 82 라발스호텔 1층 (우)49033,['매일 09:00 ~ 18:00'],{},{}
달인교동짬뽕 영도직영점,중국요리,3.3,부산 영도구 절영로36번길 3 (우)49045,['null'],{},{}
원조콩나물해장국,해장국,0,부산 영도구 절영로35번길 17 (우)49052,['null'],"{'감자탕(중)': '20,000', '감자탕(대)': '30,000', '닭도리탕(중)': '20,000', '아구찜(중)': '40,000', '코다리조림': '20,000'}",{}
가장맛있는족발 영도점,가장맛있는족발,1.0,부산 영도구 태종로 86 (우)49052,['null'],{},{}
다정네아구찜,아구,5.0,부산 영도구 남항로9번길 22 (우)49045,['null'],"{'제육+해물된장 (1인)': '7,000', '아구찜 (대)': '35,000', '대구뽈찜 (대)': '40,000', '아구수육 (대)': '40,000', '아구탕': '7,000', '아구뽈찜': '7,000', '': ''}",{}
수미쌈밥,쌈밥,2.0,부산 영도구 남항로19번길 13 (우)49054,['null'],{},{}
춘자포차,실내포장마차,1.0,부산 영도구 태종로73번길 32 (우)49033,['매일 17:00 ~ 02:00'],{},{}
코리안바베큐 영도점,코리안바베큐,0,부산 영도구 절영로35번길 9 (우)49052,['null'],{},{}
카우카우,"육류,고기",5.0,부산 영도구 절영로35번길 28 (우)49054,['null'],"{'한우모듬(중)': '50,000', '안창살(100g)': '30,000', '갈비살(100g)': '20,000', '된장전골': '15,000', '물냉면': '5,000'}",{}
휴무전날,카페,4.3,부산 영도구 태종로 54-1 1층 (우)49042,['매일 08:00 ~ 20:00'],"{'아메리카노': '2,000', '카페라떼': '3,000', '바닐라라떼': '3,500', '카라멜라떼': '4,000', '돌체라떼': '4,000', '자몽에이드': '4,000', '': ''}",{}
수미가양곱창,"곱창,막창",0,부산 영도구 남항로25번길 19 (우)49054,['매일 15:00 ~ 02:00'],"{'양곱창모듬구이(소)': '40,000', '양곱창모듬구이(대)': '65,000', '특양구이(500g)': '40,000', '양곱창전골': '40,000', '새우구이(150g)': '30,000'}",{}
모름지기 영도점,삼겹살,0,"부산 영도구 절영로14번길 4 1,2층 (우)49033",['매일 15:00 ~ 00:00'],"{'모듬 (소)': '26,000', '모듬 (대)': '39,000', '통삼겹 한판 (500g)': '20,000', '통목살한판': '20,000', '항정살 한판': '26,000', '가브리살 한판': '26,000', '': ''}",{}
